rcsb_id,entry.id,struct.title,exptl.method,exptl_crystal_grow.crystal_id,exptl_crystal_grow.method,exptl_crystal_grow.pH,exptl_crystal_grow.temp,exptl_crystal_grow.pdbx_details,exptl_crystal.density_Matthews,exptl_crystal.density_percent_sol,exptl_crystal_grow.pdbx_details_extracted.pH,exptl_crystal_grow.pdbx_details_extracted.temperature,exptl_crystal_grow.pdbx_details_extracted.method,exptl_crystal_grow.pdbx_details_extracted.reagents,exptl_crystal_grow.pdbx_details_refined
7U5I,7U5I,Cryo-EM Structure of Mitochondrial Creatine Kinase,ELECTRON MICROSCOPY,,,,,,,,null,null,null,null,null
2VP9,2VP9,Structural Studies of Nucleoside Analog and Feedback Inhibitor Binding to Drosophila Melanogaster Multisubstrate Deoxyribonucleoside Kinase,X-RAY DIFFRACTION,1.0,,6.5,,pH 6.5,3.07,53.06,6.5,0,,{},"{
	""pH"":6.5
	}
																				"
2JCS,2JCS,Active site mutant of dNK from D. melanogaster with dTTP bound,X-RAY DIFFRACTION,1.0,,6.5,,"0.12 M NAAC,0.1 M MES PH 6.5, 18% MPEG 2000",2.82,55.98,6.5,178.15,MICROBATCH,"{'0.12 M NAAC': '0.12 M', '0.1 M MES PH 6.5': '0.1 M', '18% MPEG 2000': '18%'}","{
  ""pH"": 6.5,
  ""temperature"": 178.15,
  ""reagents"": {
    ""0.12 M NAAC"": ""0.12 M"",
    ""0.1 M MES PH 6.5"": ""0.1 M"",
    ""18% MPEG 2000"": ""0.18""
  },
  ""method"": ""MICROBATCH""
}
																		"
2VP2,2VP2,Structural Studies of Nucleoside Analog and Feedback Inhibitor Binding to Drosophila Melanogaster Multisubstrate Deoxyribonucleoside Kinase,X-RAY DIFFRACTION,1.0,,6.5,,pH 6.5,2.78,55.47,6.5,0,HANGING DROP,{},"{
  ""pH"": 6.5,
  ""temperature"": 0,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""ammonium sulfate"": ""0.4M"",
    ""PEG400"": ""20%""
  },
  ""method"": ""HANGING DROP""
}
  																		"
5D57,5D57,"In meso X-ray crystallography structure of diacylglycerol kinase, DgkA, at 100 K",X-RAY DIFFRACTION,1.0,LIPIDIC CUBIC PHASE,,277.0,"3-6 %(v/v) MPD, 0.1 M NaCl, 60 mM Mg(CH3COO)2 and 50 mM Na3C6H5O7, pH 5.6",2.89,57.49,5.6,0.0,HANGING DROP,"{'MPD': '3-6 %(v/v)', 'NaCl': '0.1 M', 'Mg(CH3COO)2': '60 mM', 'Na3C6H5O7': '50 mM', 'SODIUM ACETATE': '0.1 M'}","{
  ""pH"": 5.6,
  ""temperature"": 0.0,
  ""reagents"": {
    ""MPD"": ""3-6 %(v/v)"",
    ""NaCl"": ""0.1 M"",
    ""Mg(CH3COO)2"": ""60 mM"",
    ""Na3C6H5O7"": ""50 mM"",
    ""SODIUM ACETATE"": ""0.1 M""
  },
  ""method"": ""HANGING DROP""
}
  "
5XVU,5XVU,Crystal structure of the protein kinase CK2 catalytic domain from Plasmodium falciparum bound to ATP,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",,293.0,"0.2M Lithium Sulfate, 0.1M BIS-TRIS PH5.5, 25% w/v Polyethylene glycol 3350",2.88,57.3,5.5,277,HANGING DROP,"{'BIS-TRIS pH5.5': '0.1M', 'Lithium sulfate monohydrate': '0.2M', 'Polyethylene glycol 3350': '25% w/v'}","{
  ""pH"": 5.5,
  ""temperature"": 277,
  ""reagents"": {
    ""BIS-TRIS pH5.5"": ""0.1M"",
    ""Lithium sulfate monohydrate"": ""0.2M"",
    ""Polyethylene glycol 3350"": ""25% w/v""
  },
  ""method"": ""HANGING DROP""
}
  												  				"
3HQP,3HQP,"Crystal structure of Leishmania mexicana pyruvate kinase (LmPYK) in complex with ATP, Oxalate and fructose 2,6 bisphosphate",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",7.2,277.0,"10-16% PEG8000, 20mM triethanolamine-HCl, 50mM MgCl2, 100mM KCl, 10-15% glycerol, pH7.2, VAPOR DIFFUSION, HANGING DROP, temperature 277K",3.31,62.84,7.2,277,"VAPOR DIFFUSION, HANGING DROP","{'PEG8000': '10-16%', 'triethanolamine-HCl': '20mM', 'MgCl2': '50mM', 'KCl': '100mM', 'glycerol': '10-15%'}","{
  ""pH"": 7.2,
  ""temperature"": 277,
  ""reagents"": {
    ""PEG8000"": ""10-16%"",
    ""triethanolamine-HCl"": ""20mM"",
    ""MgCl2"": ""50mM"",
    ""KCl"": ""100mM"",
    ""glycerol"": ""10-15%""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  "
1V0B,1V0B,Crystal structure of the t198a mutant of pfpk5,X-RAY DIFFRACTION,1.0,,7.4,,pH 7.40,2.61,52.8,7.4,0.0,MICROBATCH,"{'HEPES': '0.1M', 'ammonium sulfate': '0.4M', 'PEG400': '20%'}","{
    ""pH"": 7.4,
    ""temperature"": 0.0,
    ""reagents"": {
        ""HEPES"": ""0.1M"",
        ""ammonium sulfate"": ""0.4M"",
        ""PEG400"": ""20%""
    },
    ""method"": ""MICROBATCH""
}
																			"
2BRX,2BRX,UMP KINASE FROM PYROCOCCUS FURIOSUS WITHOUT LIGANDS,X-RAY DIFFRACTION,1.0,,8.0,,"3.5 M SODIUM FORMATE, pH 8.00",2.59,52.15,8,0,HANGING DROP,{'SODIUM FORMATE': '3.5 M'},"{
  ""pH"": 0,
  ""temperature"": 0,
  ""reagents"": {
    ""SODIUM FORMATE"": ""3.5 M""
  },
  ""method"": ""OK""
}
  								 									"
2PHK,2PHK,THE CRYSTAL STRUCTURE OF A PHOSPHORYLASE KINASE PEPTIDE SUBSTRATE COMPLEX: KINASE SUBSTRATE RECOGNITION,X-RAY DIFFRACTION,1.0,,6.9,,pH 6.9,2.7,54.4,6.9,0,,{},"{
  ""pH"": 6.9,
  ""temperature"": 0,
  ""reagents"": {},
  ""method"": """"
} "
5T8O,5T8O,Crystal structure of murine NF-kappaB inducing kinase (NIK) bound to Imidazobenzoxepin Compound 3,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",6.2,277.0,"0.3-0.9M ammonium sulphate, 0.05-0.1M sodium citrate, 0.7-1.0M Lithium sulphate",3.06,59.75,7.4,278,HANGING DROP,"{'ammonium sulfate': '0.3-0.9M', 'sodium citrate': '0.05-0.1M', 'lithium sulfate': '0.7-1.0M'}","{
  ""pH"": 7.4,
  ""temperature"": 278,
  ""reagents"": {
    ""ammonium sulfate"": ""0.3-0.9M"",
    ""sodium citrate"": ""0.05-0.1M"",
    ""lithium sulfate"": ""0.7-1.0M""
  },
  ""method"": ""HANGING DROP""
}
  																		"
5T8P,5T8P,Crystal structure of murine NF-kappaB inducing kinase (NIK) bound to benzoxepin compound 2,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",6.2,277.0,"0.3-0.9M ammonium sulphate, 0.05-0.1M sodium citrate, 0.7-1.0M Lithium sulphate",3.0,58.94,7.4,278.15,HANGING DROP,"{'ammonium sulfate': '0.3-0.9M', 'sodium citrate': '0.05-0.1M', 'lithium sulfate': '0.7-1.0M'}","{
  ""pH"": 7.4,
  ""temperature"": 278.15,
  ""reagents"": {
    ""ammonium sulfate"": ""0.3-0.9M"",
    ""sodium citrate"": ""0.05-0.1M"",
    ""lithium sulfate"": ""0.7-1.0M""
  },
  ""method"": ""HANGING DROP""
}
  		   		        			"
5T8Q,5T8Q,Crystal structure of murine NF-kappaB inducing kinase (NIK) bound to aryl pyrrole fragment 17,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",6.2,277.0,"0.3-0.9M ammonium sulphate,
0.05-0.1M sodium citrate, 
0.7-1.0M Lithium sulphate",3.33,63.05,6.8,295,HANGING DROP,"{'ammonium sulfate': '0.3-0.9M', 'sodium citrate': '0.05-0.1M', 'lithium sulfate': '0.7-1.0M'}","{
  ""pH"": 6.8,
  ""temperature"": 295,
  ""reagents"": {
    ""ammonium sulfate"": ""0.3-0.9M"",
    ""sodium citrate"": ""0.05-0.1M"",
    ""lithium sulfate"": ""0.7-1.0M""
  },
  ""method"": ""HANGING DROP""
}
								    								"
7M0M,7M0M,HPK1 IN COMPLEX WITH COMPOUND 1,X-RAY DIFFRACTION,1.0,VAPOR DIFFUSION,,293.0,"20 mM Tris pH 8.0 , 150 mM NaCl , 5% Glycerol , 2 mM DTT",2.58,52.33,8.0,293,HANGING DROP,"{'Tris': '20 mM', 'NaCl': '150 mM', 'Glycerol': '5%', 'DTT': '2 mM'}","{
  ""pH"": 8.0,
  ""temperature"": 293,
  ""reagents"": {
    ""Tris"": ""20 mM"",
    ""NaCl"": ""150 mM"",
    ""Glycerol"": ""5%"",
    ""DTT"": ""2 mM""
  },
  ""method"": ""HANGING DROP""
}
    												   	"
1.00E+90,1.00E+90,"Structure determinants of phosphoinositide 3-kinase inhibition by wortmannin, LY294002, quercetin, myricetin and staurosporine",X-RAY DIFFRACTION,1.0,,7.25,,"14% PEG 4000, 0.2 M LI2SO4, 0.1 M TRIS PH 7.25",2.851,56.9,7.25,298,"VAPOR DIFFUSION, HANGING DROP",null,"{
  ""pH"": 7.25,
  ""temperature"": 298,
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  			 					    	 			"
