rcsb_id,entry.id,struct.title,exptl.method,exptl_crystal_grow.crystal_id,exptl_crystal_grow.method,exptl_crystal_grow.pH,exptl_crystal_grow.temp,exptl_crystal_grow.pdbx_details,exptl_crystal.density_Matthews,exptl_crystal.density_percent_sol,Unnamed: 11,exptl_crystal_grow.pdbx_details_extracted.pH,exptl_crystal_grow.pdbx_details_extracted.temperature,exptl_crystal_grow.pdbx_details_extracted.method,exptl_crystal_grow.pdbx_details_extracted.reagents,exptl_crystal_grow.pdbx_details_refined
1QK1,1QK1,CRYSTAL STRUCTURE OF HUMAN UBIQUITOUS MITOCHONDRIAL CREATINE KINASE,X-RAY DIFFRACTION,1,,6.75,,"0.025M NA-PHOSPHATE, 3 MM DTT, PH 6.75, 5 MG/ML PROTEIN",3.5,65.0,,6.75,298.0,HANGING DROP,"{'NA-PHOSPHATE': '0.025M', 'DTT': '3mM', 'PROTEIN': '5mg/ml'}","{
  ""pH"": 6.75,
  ""temperature"": 298,
  ""reagents"": {
    ""NA-PHOSPHATE"": ""0.025M"",
    ""DTT"": ""3mM"",
    ""PROTEIN"": ""5mg/ml""
  },
  ""method"": ""HANGING DROP""
}
"
6GWV,6GWV,Molybdenum storage protein without polymolybdate clusters and ATP,X-RAY DIFFRACTION,1,VAPOR DIFFUSION,7.5,293.15,"0.1 M HEPES, pH 7.5, 0.4 M ammonium sulfate, 20% PEG400, 10% isopropanol",3.24,62.06,,7.5,293.0,HANGING DROP,"{'HEPES': '0.1M', 'ammonium sulfate': '0.4M', 'PEG400': '20%', 'isopropanol': '10%'}","{
  ""pH"": 7.5,
  ""temperature"": 293,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""ammonium sulfate"": ""0.4M"",
    ""PEG400"": ""20%"",
    ""isopropanol"": ""10%""
  },
  ""method"": ""HANGING DROP""
}
"
2BUF,2BUF,Arginine Feed-Back Inhibitable Acetylglutamate Kinase,X-RAY DIFFRACTION,1,"VAPOR DIFFUSION, HANGING DROP",6.5,277.0,"CRYSTALS WERE OBTAINED AT 277 K IN ABOUT TWO WEEKS USING THE HANGING DROP TECHNIQUE AND UTILIZING A 10 MG/ML. PROTEIN SOLUTION CONTAINING 20 MM HEPES PH 7.5, 1 MM DITHIOERYTHRITOL, 10% GLYCEROL, 30 MM MAGNESIUM CHLORIDE, 20 MM N-ACETYL-L-GLUTAMATE, 10 MM ADP AND 0.02% SODIUM AZIDE, AND A RESERVOIR SOLUTION WITH 0.1 M SODIUM CACODYLATE PH 6.5, 150-170 MM MAGNESIUM ACETATE AND POLYETHYLENE GLYCOL 8000",2.89,57.17,,7.5,277.0,HANGING DROP,"{'HEPES': '20 mM', 'dithioerythritol': '10% (w/v)', 'glycerol': '10%', 'magnesium chloride': '30 mM', 'N-acetyl-L-glutamate': '20 mM', 'ADP': '10 mM', 'sodium azide': '0.02% (w/v)'}","{
    ""pH"": 7.5,
    ""temperature"": 277,
    ""reagents"": {
        ""HEPES"": ""20 mM"",
        ""dithioerythritol"": ""10% (w/v)"",
        ""glycerol"": ""10%"",
        ""magnesium chloride"": ""30 mM"",
        ""N-acetyl-L-glutamate"": ""20 mM"",
        ""ADP"": ""10 mM"",
        ""sodium azide"": ""0.02% (w/v)""
    },
    ""method"": ""HANGING DROP""
}
									"
2J4L,2J4L,Crystal structure of uridylate kinase from Sulfolobus solfataricus in complex with UTP to 2.8 Angstrom resolution,X-RAY DIFFRACTION,1,"VAPOR DIFFUSION, HANGING DROP",4.8,,"PROTEIN SOLUTION (2UL) IN 10 MM TRIS/CL PH 7.6 WITH 4.6 MG/ML SSUMPK, 2 MM UTP, 5 MM MGCL2 MIXED WITH 2UL MOTHER SOLUTION. MOTHER SOLUTION: 1.8 M SODIUM FORMATE, 0.1 M SODIUM ACETATE PH 4.8. HANGIGN DROP VAPOR DIFFUSION",3.32,60.8,,7.6,293.0,HANGING DROP VAPOR DIFFUSION,"{'TRIS': '10 mM', 'SUMPK': '4.6 mg/ml', 'UTP': '2 mM', 'MgCl2': '5 mM'}","{
	""pH"":7.6,
	""temperature"":293,
	""reagents"": {
		""TRIS"": ""10 mM"",
		""SUMPK"": ""4.6 mg/ml"",
		""UTP"": ""2 mM"",
		""MGCL2"": ""5 mM""
	},
	""method"": ""HANGING DROP VAPOR DIFFUSION""
}
								   							"
4V7N,4V7N,"Glycocyamine kinase, beta-beta homodimer from marine worm Namalycastis sp., with transition state analog Mg(II)-ADP-NO3-glycocyamine.",X-RAY DIFFRACTION,1,"VAPOR DIFFUSION, HANGING DROP",8.0,298.0,"22.5% polyethylene glycol monomethyl ether (PMME) 2000, 0.1M calcium acetate, 0.1M Tris HCl, pH 8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.27,45.9,,8.0,298.0,"VAPOR DIFFUSION, HANGING DROP","{'polyethylene glycol monomethyl ether (PMME) 2000': '22.5%', 'calcium acetate': '0.1M', 'Tris HCl': '0.1M'}","{
  ""pH"": 8,
  ""temperature"": 298,
  ""reagents"": {
    ""polyethylene glycol monomethyl ether (PMME) 2000"": ""22.5%"",
    ""calcium acetate"": ""0.1M"",
    ""Tris HCl"": ""0.1M""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
              						"
1CRK,1CRK,MITOCHONDRIAL CREATINE KINASE,X-RAY DIFFRACTION,1,,6.7,,pH 6.7,3.32,63.0,,6.7,298.0,HANGING DROP,"{'HEPES': '0.1M', 'ammonium sulfate': '0.4M'}","{
  ""pH"": 6.7,
  ""temperature"": 298,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""ammonium sulfate"": ""0.4M""
  },
  ""method"": ""HANGING DROP""
}
  								 									"
1I0E,1I0E,CRYSTAL STRUCTURE OF CREATINE KINASE FROM HUMAN MUSCLE,X-RAY DIFFRACTION,1,"VAPOR DIFFUSION, HANGING DROP",8.0,291.0,"MPD, Tris-HCL, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 291K",2.69,54.23,,8.0,291.0,"VAPOR DIFFUSION, HANGING DROP","{'MPD': '10% (w/v)', 'Tris-HCL': '0.1M'}","{
  ""pH"": 8.0,
  ""temperature"": 291,
  ""reagents"": {
    ""MPD"": ""10% (w/v)"",
    ""Tris-HCL"": ""0.1M""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
"
2VA1,2VA1,Crystal structure of UMP kinase from Ureaplasma parvum,X-RAY DIFFRACTION,1,,,,"0.2 M AMMONIUM FLUORIDE, 20% PEG 3350",2.4,47.9,,7.4,293.0,HANGING DROP,"{'AMMONIUM FLUORIDE': '0.2M', 'PEG 3350': '20%'}","{
  ""pH"": 7.4,
  ""temperature"": 293,
  ""reagents"": {
    ""AMMONIUM FLUORIDE"": ""0.2M"",
    ""PEG 3350"": ""20%""
  },
  ""method"": ""HANGING DROP""
}
"
4O75,4O75,Crystal structure of the first bromodomain of human BRD4 in complex with FOSTAMATINIB,X-RAY DIFFRACTION,1,"VAPOR DIFFUSION, HANGING DROP",7.5,291.0,"12.5 MG/ML BRD4, 5MM HEPES pH 7.5, 50MM SODIUM CHLORIDE, 0.5MM DTT, 50MM TRIS PH8.5, 0.1M AMMONIUM SULFATE, 12.5% PEG 3,350, 10% DMSO, 1 MM FOSTAMATINIB, VAPOR DIFFUSION, HANGING DROP, temperature 291K",2.15,42.68,,7.5,291.0,"VAPOR DIFFUSION, HANGING DROP","{'BRD4': '12.5 MG/ML', 'HEPES': '5MM', 'SODIUM CHLORIDE': '50MM', 'DTT': '0.5MM', 'TRIS PH8.5': '50MM', 'AMMONIUM SULFATE': '0.1M', 'PEG 3,350': '12.5% (w/v)', 'DMSO': '10%', 'FOSTAMATINIB': '1 MM'}","{
  ""pH"": 7.5,
  ""temperature"": 291,
  ""reagents"": {
    ""BRD4"": ""12.5 MG/ML"",
    ""HEPES"": ""5MM"",
    ""SODIUM CHLORIDE"": ""50MM"",
    ""DTT"": ""0.5MM"",
    ""TRIS PH8.5"": ""50MM"",
    ""AMMONIUM SULFATE"": ""0.1M"",
    ""PEG 3,350"": ""12.5% (w/v)"",
    ""DMSO"": ""10%"",
    ""FOSTAMATINIB"": ""1 MM""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
"
1Z0S,1Z0S,Crystal structure of an NAD kinase from Archaeoglobus fulgidus in complex with ATP,X-RAY DIFFRACTION,1,EVAPORATION,7.5,298.0,"di-sodium phosphate, PEG3350, pH 7.5, EVAPORATION, temperature 298.0K",2.0,36.7,,7.5,298.0,EVAPORATION,"{'di-sodium phosphate': '1M', 'PEG 3350': '30% (w/v)'}","{
  ""pH"": 7.5,
  ""temperature"": 300.0,
  ""reagents"": {
    ""di-sodium phosphate"": ""1M"",
    ""PEG3350"": ""30% (w/v)""
  },
  ""method"": ""EVAPORATION""
}
  																		"
